Word;TranslationWord;ExampleSentence;TranslationSentence;SimilarWords;FalseWords;TranslationFalseWords;Audio
io;I;Io vado al mercato;I go to the market;me,ego;tu,lui,lei,in,la;you,he,she,on,for;
tu;you;Tu leggi un libro;You read a book;voi,te;io,lui,lei,su,una;I,he,she,at,the;
lui;he;Lui è molto gentile;He is very kind;egli,ragazzo;io,lei,noi,in,una;I,she,we,on,that;
lei;she;Lei cucina la cena;She cooks dinner;essa,donna;io,lui,noi,su,un;I,he,we,at,one;
noi;we;Noi andiamo al parco;We go to the park;ci,gruppo;voi,loro,lui,in,lei;you,they,he,on,that;
voi;you (plural);Voi siete pronti;You are ready;tu,gruppo;noi,loro,io,per,lei;we,they,I,to,with;
loro;they;Loro giocano a calcio;They play football;essi,gente;io,tu,lui,con,una;we,you,he,at,on;
mi;me;Mi piace il gelato;I like ice cream;me,io;ti,lui,lei,al,la;you,he,she,in,to;
ti;you;Ti vedo domani;I will see you tomorrow;te,tu;mi,lui,lei,in,un;me,he,she,on,that;
si;himself/herself;Si lava le mani;He washes his hands;sé,egli;io,tu,noi,la,un;me,you,we,at,the;
mio;my;Questo è il mio libro;This is my book;nostro,proprio;tuo,suo,loro,in,una;your,his,their,on,with;
tuo;your;Dove è il tuo zaino?;Where is your backpack?;mio,proprio;mio,suo,loro,la,per;my,his,their,at,with;
suo;his/her;Suo padre è medico;His father is a doctor;loro,mio;mio,tuo,noi,in,una;my,your,our,on,the;
nostro;our;Questo è il nostro cane;This is our dog;mio,proprio;vostro,suo,loro,al,lei;your,his,their,in,with;
vostro;your (pl);Vostro giardino è bello;Your garden is beautiful;nostro,proprio;mio,suo,loro,un,lei;our,his,their,to,for;
loro;their;Loro casa è grande;Their house is big;suo,nostro;mio,tuo,vostro,in,una;his,our,your,at,on;
nome;name;Il mio nome è Luca;My name is Luca;cognome,identità;età,paese,via,io,tu;age,address,city,he,for;
cognome;surname;Il cognome di Maria è Rossi;Maria’s surname is Rossi;nome,patronimico;nome,età,via,io,lei;name,age,address,she,in;
età;age;Quanti anni hai?;How old are you?;anno,vita;nome,cognome,persona,io,tu;name,surname,where,she,to;
uomo;man;L’uomo legge il giornale;The man reads the newspaper;signore,ragazzo;donna,bambino,ragazza,in,una;woman,girl,child,at,of;
donna;woman;La donna lavora in ufficio;The woman works in the office;signora,ragazza;uomo,bambino,ragazzo,con,un;man,boy,child,for,to;
ragazzo;boy;Il ragazzo gioca nel giardino;The boy plays in the garden;bambino,giovane;ragazza,donna,uomo,in,una;girl,woman,man,on,to;
ragazza;girl;La ragazza canta una canzone;The girl sings a song;bambina,giovane;ragazzo,uomo,donna,con,un;boy,man,woman,to,in;
amico;friend;Lui è il mio amico;He is my friend;compagno,conoscente;nemico,sorella,fratello,lei,tu;enemy,sister,brother,she,for;
amica;(female) friend;Lei è la mia amica;She is my female friend;compagna,conoscente;nemico,fratello,sorella,io,tu;enemy,brother,sister,I,on;
persona;person;Questa persona è gentile;This person is kind;individuo,essere;animale,uomo,donna,in,la;animal,man,woman,to,with;
famiglia;family;La mia famiglia è grande;My family is big;parentela,casata;amico,persona,uomo,con,io;friend,person,man,on,that;
genitori;parents;I miei genitori sono simpatici;My parents are nice;padri,madri;fratelli,figli,amici,io,lei;siblings,children,friends,she,to;
madre;mother;Mia madre cucina bene;My mother cooks well;mammina,genitrice;padre,figlio,nonna,io,tu;father,son,grandmother,I,with;
padre;father;Mio padre lavora in banca;My father works in a bank;papà,genitore;madre,figlia,amico,lei,io;mother,daughter,friend,she,to;
fratello;brother;Il mio fratello è alto;My brother is tall;sorella,gemello;figlio,amica,nonno,in,lei;sister,friend,grandfather,she,on;
sorella;sister;La sorella di Anna è gentile;Anna’s sister is kind;fratello,cugina;figlio,amico,nonna,in,un;brother,friend,grandmother,to,at;
figlio;son;Il figlio di Marco ha dieci anni;Marco’s son is ten years old;bambino,ragazzo;figlia,amico,uomo,in,una;daughter,friend,man,on,the;
figlia;daughter;La figlia di Sara studia piano;Sara’s daughter studies piano;bambina,ragazza;figlio,uomo,amico,con,il;son,man,friend,with,on;
nonno;grandfather;Mio nonno racconta storie;My grandfather tells stories;nonna,avo;nonna,figlia,amico,io,lei;grandmother,daughter,friend,she,to;
nonna;grandmother;La nonna prepara la torta;The grandmother prepares the cake;nonno,avo;nonno,figlio,amico,io,tu;grandfather,son,friend,you,at;
