Word;ExampleSentence;WordPOS;TranslationWord;TranslationSentence;TTSSentence;Audio
borsa;La ragazza ha comprato una {{c1::borsa}}.;noun, feminine, singular;bag;The girl bought a bag.;La ragazza ha comprato una borsa.;
specchio;La ragazza si guarda nello {{c1::specchio}}.;noun, masculine, singular;mirror;The girl looks at herself in the mirror.;La ragazza si guarda nello specchio.;
sciroppo;Il dottore mi ha prescritto uno {{c1::sciroppo}} per la tosse.;noun, masculine, singular;syrup;The doctor prescribed me a syrup for the cough.;Il dottore mi ha prescritto uno sciroppo per la tosse.;
tosse;Ho una {{c1::tosse}} secca che non passa.;noun, feminine, singular;cough;I have a dry cough that won't go away.;Ho una tosse secca che non passa.;
ricevuta;Ecco la {{c1::ricevuta}} per la visita medica.;noun, feminine, singular;receipt;Here's the receipt for the medical visit.;Ecco la ricevuta per la visita medica.;
mettere;Devo {{c1::mettere}} il ghiaccio sulla ferita.;verb, infinitive;put;I need to put ice on the wound.;Devo mettere il ghiaccio sulla ferita.;
ginocchio;Mi fa male il {{c1::ginocchio}} destro.;noun, masculine, singular;knee;My right knee hurts.;Mi fa male il ginocchio destro.;
febbre;La {{c1::febbre}} è alta, 39 gradi.;noun, feminine, singular;fever;The fever is high, 39 degrees.;La febbre è alta, 39 gradi.;
punto;Il dottore ha fatto un {{c1::punto}} di sutura.;noun, masculine, singular;stitch;The doctor made a suture stitch.;Il dottore ha fatto un punto di sutura.;
torcicollo;Ho un {{c1::torcicollo}} terribile.;noun, masculine, singular;stiff neck;I have a terrible stiff neck.;Ho un torcicollo terribile.;
ubriaca;La ragazza è {{c1::ubriaca}} e non può guidare.;adj, feminine, singular;drunk;The girl is drunk and can't drive.;La ragazza è ubriaca e non può guidare.;
sbornia;Ho una {{c1::sbornia}} tremenda stamattina.;noun, feminine, singular;hangover;I have a terrible hangover this morning.;Ho una sbornia tremenda stamattina.;
dopo sbornia;Il {{c1::dopo sbornia}} è sempre peggio della sbornia.;noun, masculine, singular;hangover;The hangover is always worse than being drunk.;Il dopo sbornia è sempre peggio della sbornia.;
allegro;Sono {{c1::allegro}} oggi, nonostante il mal di testa.;adj, masculine, singular;cheerful;I'm cheerful today, despite the headache.;Sono allegro oggi, nonostante il mal di testa.;
così;Mi sento {{c1::così}} stanco che non riesco a concentrarmi.;adv;so;I feel so tired that I can't concentrate.;Mi sento così stanco che non riesco a concentrarmi.;
schiena;Mi fa male la {{c1::schiena}} dopo aver sollevato i pesi.;noun, feminine, singular;back;My back hurts after lifting weights.;Mi fa male la schiena dopo aver sollevato i pesi.;
scottato;Sono {{c1::scottato}} dal sole.;adj, masculine, singular;sunburned;I'm sunburned from the sun.;Sono scottato dal sole.;
bruciare;Il sole può {{c1::bruciare}} la pelle.;verb, infinitive;burn;The sun can burn the skin.;Il sole può bruciare la pelle.;
bruciato;Ho la pelle {{c1::bruciata}} dal sole.;adj, feminine, singular;burned;My skin is burned from the sun.;Ho la pelle bruciata dal sole.;
insolazione;Ho preso un'{{c1::insolazione}} al mare.;noun, feminine, singular;sunstroke;I got sunstroke at the beach.;Ho preso un'insolazione al mare.;
succeda;Spero che non {{c1::succeda}} niente di grave.;verb, 3rd person singular, presente;happen;I hope nothing serious happens.;Spero che non succeda niente di grave.;
qualche tempo;Ci vorrà {{c1::qualche tempo}} per guarire.;noun, masculine, singular;some time;It will take some time to heal.;Ci vorrà qualche tempo per guarire.;
sutura;Il chirurgo ha fatto una {{c1::sutura}} perfetta.;noun, feminine, singular;suture;The surgeon made a perfect suture.;Il chirurgo ha fatto una sutura perfetta.;
rompere;Non {{c1::rompere}} il braccio cadendo.;verb, infinitive;break;Don't break your arm falling.;Non rompere il braccio cadendo.;
rotto;Ho il braccio {{c1::rotto}}.;adj, masculine, singular;broken;I have a broken arm.;Ho il braccio rotto.;
punti;Il dottore ha tolto i {{c1::punti}} oggi.;noun, masculine, plural;stitches;The doctor removed the stitches today.;Il dottore ha tolto i punti oggi.;
infarto;Ha avuto un {{c1::infarto}} al cuore.;noun, masculine, singular;heart attack;He had a heart attack.;Ha avuto un infarto al cuore.;
salta;Il bambino {{c1::salta}} nel cortile.;verb, 3rd person singular, presente;jump;The child jumps in the courtyard.;Il bambino salta nel cortile.;
tagli;Il cuoco fa dei {{c1::tagli}} nella carne.;noun, masculine, plural;cuts;The cook makes cuts in the meat.;Il cuoco fa dei tagli nella carne.;
smettila;{{c1::Smettila}} di fare rumore!;verb, 2nd person singular, imperativo;stop it;Stop making noise!;Smettila di fare rumore!;
inchiodare;Devo {{c1::inchiodare}} questo quadro al muro.;verb, infinitive;nail;I need to nail this picture to the wall.;Devo inchiodare questo quadro al muro.;
arrivare in anticipo;Cerco sempre di {{c1::arrivare in anticipo}} agli appuntamenti.;verb, infinitive;arrive early;I always try to arrive early to appointments.;Cerco sempre di arrivare in anticipo agli appuntamenti.;
proprio;Questo è il mio {{c1::proprio}} libro.;adj, masculine, singular;own;This is my own book.;Questo è il mio proprio libro.;
ingoiata;La pillola è stata {{c1::ingoiata}} con difficoltà.;verb, past participle, feminine, singular;swallowed;The pill was swallowed with difficulty.;La pillola è stata ingoiata con difficoltà.;
passo;Faccio un {{c1::passo}} alla volta.;noun, masculine, singular;step;I take one step at a time.;Faccio un passo alla volta.;
appena;{{c1::Appena}} arrivo, ti telefono.;adv;as soon as;As soon as I arrive, I'll call you.;Appena arrivo, ti telefono.;
processo;Il {{c1::processo}} di produzione è complesso.;noun, masculine, singular;process;The production process is complex.;Il processo di produzione è complesso.;
spiedo;Il pollo cuoce allo {{c1::spiedo}}.;noun, masculine, singular;spit;The chicken cooks on the spit.;Il pollo cuoce allo spiedo.;
comprasse;Se {{c1::comprasse}} quella casa, sarebbe felice.;verb, 3rd person singular, congiuntivo imperfetto;bought;If he bought that house, he would be happy.;Se comprasse quella casa, sarebbe felice.;
rido;{{c1::Rido}} sempre alle sue battute.;verb, 1st person singular, presente;laugh;I always laugh at his jokes.;Rido sempre alle sue battute.;
taglia;Che {{c1::taglia}} porti?;noun, feminine, singular;size;What size do you wear?;Che taglia porti?;
pista;La {{c1::pista}} di atletica è nuova.;noun, feminine, singular;track;The athletics track is new.;La pista di atletica è nuova.;
armatore;L'{{c1::armatore}} ha molte navi.;noun, masculine, singular;shipowner;The shipowner has many ships.;L'armatore ha molte navi.;
sprecata;Questa opportunità è stata {{c1::sprecata}}.;verb, past participle, feminine, singular;wasted;This opportunity was wasted.;Questa opportunità è stata sprecata.;
